Save: 24, Episode: 851/20000, Best Score: 51951.17385889429, Play_time: 453, Spawn distance: 127.27922061357856
Save: 25, Episode: 852/20000, Best Score: 52211.288572557874, Play_time: 453, Spawn distance: 127.27922061357856
Save: 26, Episode: 853/20000, Best Score: 53883.02566211996, Play_time: 453, Spawn distance: 127.27922061357856
Save: 27, Episode: 854/20000, Best Score: 55512.68287033487, Play_time: 453, Spawn distance: 127.27922061357856
Save: 28, Episode: 855/20000, Best Score: 56336.79285957235, Play_time: 453, Spawn distance: 127.27922061357856
Save: 29, Episode: 856/20000, Best Score: 57423.488782510896, Play_time: 453, Spawn distance: 127.27922061357856
Save: 30, Episode: 857/20000, Best Score: 58700.07116573285, Play_time: 383, Spawn distance: 127.27922061357856
Save: 31, Episode: 858/20000, Best Score: 60306.09318217389, Play_time: 453, Spawn distance: 127.27922061357856
Save: 32, Episode: 859/20000, Best Score: 60525.92611520494, Play_time: 453, Spawn distance: 127.27922061357856
Save: 33, Episode: 860/20000, Best Score: 62197.825532392926, Play_time: 453, Spawn distance: 127.27922061357856
Save: 34, Episode: 861/20000, Best Score: 63170.52427211468, Play_time: 453, Spawn distance: 127.27922061357856
Save: 35, Episode: 862/20000, Best Score: 64541.24160442179, Play_time: 453, Spawn distance: 127.27922061357856
Save: 36, Episode: 863/20000, Best Score: 64847.878659876194, Play_time: 261, Spawn distance: 127.27922061357856
Save: 37, Episode: 888/20000, Best Score: 64962.25169254004, Play_time: 453, Spawn distance: 127.27922061357856
Save: 38, Episode: 890/20000, Best Score: 65581.45813235776, Play_time: 453, Spawn distance: 127.27922061357856
Save: 39, Episode: 896/20000, Best Score: 65882.19333343452, Play_time: 453, Spawn distance: 127.27922061357856
Save: 40, Episode: 897/20000, Best Score: 66229.54304261412, Play_time: 453, Spawn distance: 127.27922061357856
Save: 41, Episode: 899/20000, Best Score: 66269.69552635516, Play_time: 453, Spawn distance: 127.27922061357856
Save: 42, Episode: 901/20000, Best Score: 82405.68528883088, Play_time: 453, Spawn distance: 127.27922061357856
Save: 43, Episode: 1201/20000, Best Score: 84003.87093702231, Play_time: 453, Spawn distance: 127.27922061357856
Save: 44, Episode: 1501/20000, Best Score: 84403.71148195057, Play_time: 453, Spawn distance: 127.27922061357856
